ComplaintID,DateOpened,DateClosed,Product,Channel,Region,CustomerSegment,IssueType,Severity,Status,IsRepeat,IsSLA_Breached,ResolutionTimeHours,AgentName
1,2023-01-01,2023-01-03,Mortgage,Mobile App,West,Premier,Login Issue,Low,Resolved,No,No,60,David
2,2023-01-02,2023-01-04,Insurance,Web Chat,West,Business,Service Failure,High,Resolved,No,No,134,Riya
3,2023-01-03,2023-01-05,Loan,Email,West,Retail,Info Mismatch,Medium,Resolved,No,No,52,Komal
4,2023-01-04,2023-01-06,Insurance,Phone,West,Premier,Info Mismatch,Medium,Resolved,No,Yes,150,Sara
5,2023-01-05,2023-01-07,Insurance,Phone,Central,Retail,Card Blocked,High,Resolved,No,No,13,David
6,2023-01-06,2023-01-08,Credit Card,Web Chat,Central,Premier,Login Issue,High,In Progress,Yes,No,51,Riya
7,2023-01-07,2023-01-09,Loan,Mobile App,South,Premier,Incorrect Charges,Low,Escalated,Yes,No,133,Karan
8,2023-01-08,2023-01-10,Loan,Mobile App,North,Retail,Card Blocked,Low,In Progress,No,No,114,Riya
9,2023-01-09,2023-01-11,Loan,Email,West,Premier,Info Mismatch,High,In Progress,No,No,171,Komal
10,2023-01-10,2023-01-12,Insurance,Web Chat,South,Premier,Service Failure,Medium,In Progress,No,No,167,Komal
11,2023-01-11,2023-01-13,Mortgage,Phone,North,Business,Info Mismatch,Low,Escalated,No,No,154,Amit
12,2023-01-12,2023-01-14,Loan,Mobile App,East,Premier,Service Failure,Low,Open,No,No,15,David
13,2023-01-13,2023-01-15,Insurance,Web Chat,Central,Premier,Card Blocked,Medium,Escalated,No,No,33,Amit
14,2023-01-14,2023-01-16,Credit Card,Mobile App,North,Premier,Login Issue,Low,In Progress,Yes,No,140,Riya
15,2023-01-15,2023-01-17,Mortgage,Mobile App,East,Business,Info Mismatch,Medium,Resolved,No,No,190,Sara
16,2023-01-16,2023-01-18,Credit Card,Phone,North,Retail,Service Failure,Medium,Resolved,No,No,147,Sara
17,2023-01-17,2023-01-19,Mortgage,Branch,Central,Business,Login Issue,Medium,In Progress,No,No,156,Komal
18,2023-01-18,2023-01-20,Insurance,Email,Central,Business,Incorrect Charges,High,Resolved,No,No,56,Sara
19,2023-01-19,2023-01-21,Savings,Email,South,Retail,Service Failure,High,In Progress,No,No,183,Sara
20,2023-01-20,2023-01-22,Mortgage,Phone,West,Business,Card Blocked,High,Resolved,No,No,121,Sara
21,2023-01-21,2023-01-23,Credit Card,Mobile App,North,Retail,Incorrect Charges,Medium,Escalated,No,No,76,Riya
22,2023-01-22,2023-01-24,Insurance,Web Chat,North,Business,Incorrect Charges,Medium,Open,No,No,22,Sara
23,2023-01-23,2023-01-25,Mortgage,Mobile App,East,Retail,Delay,High,Open,No,No,173,Karan
24,2023-01-24,2023-01-26,Savings,Phone,Central,Premier,Info Mismatch,Low,Escalated,No,No,134,Sara
25,2023-01-25,2023-01-27,Savings,Email,North,Business,Service Failure,Medium,Escalated,No,No,88,Sara
26,2023-01-26,2023-01-28,Loan,Mobile App,Central,Business,Incorrect Charges,Low,In Progress,Yes,No,170,Amit
27,2023-01-27,2023-01-29,Loan,Email,North,Business,Delay,Low,In Progress,No,No,60,Riya
28,2023-01-28,2023-01-30,Credit Card,Web Chat,South,Business,Card Blocked,Medium,In Progress,No,No,90,Komal
29,2023-01-29,2023-01-31,Mortgage,Email,West,Premier,Login Issue,Medium,Resolved,No,No,183,Amit
30,2023-01-30,2023-02-01,Mortgage,Email,North,Business,Service Failure,Low,In Progress,No,No,151,David
31,2023-01-31,2023-02-02,Loan,Branch,Central,Premier,Incorrect Charges,Low,Escalated,No,No,84,Riya
32,2023-02-01,2023-02-03,Mortgage,Branch,South,Premier,Info Mismatch,High,Open,No,No,66,Karan
33,2023-02-02,2023-02-04,Mortgage,Branch,North,Premier,Delay,High,Resolved,No,No,65,Riya
34,2023-02-03,2023-02-05,Savings,Email,East,Premier,Incorrect Charges,Medium,In Progress,No,Yes,72,David
35,2023-02-04,2023-02-06,Loan,Phone,West,Retail,Info Mismatch,High,Resolved,Yes,No,5,David
36,2023-02-05,2023-02-07,Insurance,Email,North,Retail,Incorrect Charges,High,Resolved,No,Yes,194,David
37,2023-02-06,2023-02-08,Loan,Phone,South,Business,Service Failure,High,In Progress,Yes,No,144,Komal
38,2023-02-07,2023-02-09,Insurance,Phone,East,Retail,Service Failure,High,Resolved,No,No,105,Sara
39,2023-02-08,2023-02-10,Savings,Branch,South,Retail,Service Failure,Low,Open,No,No,151,Riya
40,2023-02-09,2023-02-11,Credit Card,Mobile App,South,Business,Card Blocked,Medium,Escalated,No,No,176,Sara
41,2023-02-10,2023-02-12,Mortgage,Web Chat,East,Business,Card Blocked,High,Escalated,No,No,94,Sara
42,2023-02-11,2023-02-13,Savings,Branch,South,Business,Delay,Low,Open,Yes,No,175,Karan
43,2023-02-12,2023-02-14,Mortgage,Branch,East,Retail,Service Failure,Low,Resolved,No,No,143,David
44,2023-02-13,2023-02-15,Credit Card,Mobile App,North,Retail,Info Mismatch,Low,In Progress,No,No,179,Komal
45,2023-02-14,2023-02-16,Credit Card,Web Chat,East,Business,Incorrect Charges,High,Resolved,No,Yes,149,Karan
46,2023-02-15,2023-02-17,Savings,Email,East,Premier,Login Issue,High,Open,No,No,179,Amit
47,2023-02-16,2023-02-18,Credit Card,Email,West,Business,Info Mismatch,Medium,Resolved,No,No,113,Komal
48,2023-02-17,2023-02-19,Insurance,Branch,East,Premier,Card Blocked,High,Escalated,No,No,162,Sara
49,2023-02-18,2023-02-20,Credit Card,Web Chat,East,Premier,Card Blocked,High,Resolved,No,No,120,Komal
50,2023-02-19,2023-02-21,Mortgage,Branch,North,Business,Info Mismatch,Low,Open,No,No,60,David
